CountryName,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,130.875934,148.7207488,137.7950003,141.0311978,133.149983,118.5088229,137.97128,128.2593303,97.41835675,106.4162188
Germany,217.6956778,202.2739321,197.2282581,178.1189263,166.4811184,174.0986853,163.2420267,130.141019,116.870121,128.57555
France,168.4267254,170.4009481,163.1391209,177.6248273,170.970794,157.7226122,179.5401217,171.6520477,130.6185774,131.3227821
Poland,164.0007321,174.0975475,189.6909125,190.3914917,173.0765737,176.5083673,155.0672646,156.0610163,160.6806986,155.6007856
SlovakRepublic,116.4788111,112.9911111,125.762435,121.6872673,129.3019288,129.1786509,129.8120357,134.4939668,118.9024943,106.3213466
Hungary,112.7082369,114.1475486,138.173028,152.3786722,150.8589269,145.9856382,162.6167312,165.491768,108.325791,89.52529917
Switzerland,208.4008755,208.9313522,212.1093477,199.8874892,187.7937574,163.4275707,175.129395,177.1865295,132.5974763,142.6968154
Czechia,162.6572921,192.3136546,196.3833802,182.4206731,174.3607085,165.6915433,144.2165019,148.6243276,152.139945,113.4345056
Netherlands,247.8526316,266.8051823,291.6857977,290.5583414,274.2693438,273.8018,276.6139546,273.2552343,240.2659363,238.0198216
Belgium,304.0305998,305.4779988,275.0541559,269.7356459,266.7611765,265.8832642,257.6436916,252.7540317,198.2734063,191.6622951
